Video ID,Comment ID,comments
lkBJdYWh9LU,UgxD4O4SyXyAeypy7bl4AaABAg,  Chai  Question    What  degree  do  you  want  to  pursue  in  America        Multiple  Visa  Interview  Rejections    https      youtu  be  eyDHxDRoI  I
lkBJdYWh9LU,Ugzwmy9YzWRCFGMEI0h4AaABAg,Masters  in  Biomedical  Engineering    
lkBJdYWh9LU,UgyEwpGS3mvj3SswC2J4AaABAg,Thank  you  so  soooooooooo  much      I'll  be  pursuing  masters  in  the  same  field                also  the  same  with  NEU  Boston        I  was  waiting  for  this  video  from  a  very  long  time    Thanks  rob    thanks  Jay
lkBJdYWh9LU,UgyCJr4OjRPVQ63MRed4AaABAg,Masters  in  Data  Science
